UABC_FIM_ICO_IA_2024-1_P3-1_TESTING
X_IMU,Y_IMU,Y_FR,Z_FR,Clase
-0.13346,-0.08535,11.382164,-2.5120356,0
-0.13341,-0.08528,11.382164,-2.5120356,0
-0.13324,-0.08518,11.382164,-2.5120356,0
-0.13279,-0.08505,11.382164,-2.5120356,0
-0.13244,-0.08494,11.382164,-2.5120356,0
-0.13223,-0.08487,11.382164,-2.5120356,0
-0.13231,-0.08487,11.382164,-2.5120356,0
-0.13219,-0.08489,11.382164,-2.5120356,0
-0.13182,-0.08504,11.382164,-2.5120356,0
-0.13157,-0.08523,11.382164,-2.5120356,0
-0.13128,-0.08529,11.382164,-2.5120356,0
-0.13146,-0.08532,11.382164,-2.5120356,0
-0.13165,-0.0853,11.382164,-2.5120356,0
-0.13201,-0.08537,11.382164,-2.5120356,0
-0.13244,-0.08547,11.382164,-2.5120356,0
-0.13249,-0.08567,11.882681,-2.0535195,0
-0.13272,-0.08592,11.882681,-2.0535195,0
-0.13246,-0.08631,11.882681,-2.0535195,0
-0.13249,-0.08666,11.882681,-2.0535195,0
-0.13268,-0.08675,11.882681,-2.0535195,0
-0.13285,-0.0866,11.882681,-2.0535195,0
-0.13305,-0.08598,11.882681,-2.0535195,0
-0.13352,-0.08526,11.882681,-2.0535195,0
-0.13344,-0.08505,11.882681,-2.0535195,0
-0.13322,-0.08545,11.882681,-2.0535195,0
-0.13264,-0.08601,11.882681,-2.0535195,0
-0.13219,-0.08656,11.882681,-2.0535195,0
-0.13193,-0.08677,11.882681,-2.0535195,0
-0.13196,-0.0866,11.882681,-2.0535195,0
-0.13211,-0.08618,11.882681,-2.0535195,0
-0.13156,-0.08586,11.848565,-2.7974432,0
-0.13078,-0.08593,11.848565,-2.7974432,0
-0.13015,-0.08611,11.848565,-2.7974432,0
-0.12956,-0.0862,11.848565,-2.7974432,0
-0.12942,-0.08594,11.848565,-2.7974432,0
-0.12904,-0.08532,11.848565,-2.7974432,0
-0.12896,-0.08462,11.848565,-2.7974432,0
-0.12881,-0.08402,11.848565,-2.7974432,0
-0.12862,-0.08356,11.848565,-2.7974432,0
-0.12855,-0.0834,11.848565,-2.7974432,0
-0.12806,-0.08337,11.848565,-2.7974432,0
-0.12818,-0.08337,11.848565,-2.7974432,0
-0.1285,-0.08331,11.848565,-2.7974432,0
-0.12854,-0.08303,11.848565,-2.7974432,0
-0.12872,-0.08276,11.848565,-2.7974432,0
-0.12858,-0.08257,11.848565,-2.7974432,0
-0.12864,-0.08243,10.577691,-2.292297,0
-0.12887,-0.08244,10.577691,-2.292297,0
-0.1289,-0.08242,10.577691,-2.292297,0
-0.12914,-0.08234,10.577691,-2.292297,0
-0.12933,-0.08239,10.577691,-2.292297,0
-0.12933,-0.08244,10.577691,-2.292297,0
-0.12936,-0.08254,10.577691,-2.292297,0
-0.12923,-0.08258,10.577691,-2.292297,0
-0.12956,-0.08239,10.577691,-2.292297,0
-0.12961,-0.08192,10.577691,-2.292297,0
-0.13034,-0.08113,10.577691,-2.292297,0
-0.13115,-0.08046,10.577691,-2.292297,0
-0.13084,-0.08063,10.577691,-2.292297,0
-0.13054,-0.08108,10.577691,-2.292297,0
-0.12989,-0.08161,10.577691,-2.292297,0
-0.12975,-0.08166,12.503764,-3.4587314,0
-0.13022,-0.08137,12.503764,-3.4587314,0
-0.13055,-0.08083,12.503764,-3.4587314,0
-0.13102,-0.08058,12.503764,-3.4587314,0
-0.13099,-0.08064,12.503764,-3.4587314,0
-0.13091,-0.08087,12.503764,-3.4587314,0
-0.13115,-0.08097,12.503764,-3.4587314,0
-0.13108,-0.08107,12.503764,-3.4587314,0
-0.13101,-0.08109,12.503764,-3.4587314,0
-0.13067,-0.08102,12.503764,-3.4587314,0
-0.13048,-0.08085,12.503764,-3.4587314,0
-0.13047,-0.08065,12.503764,-3.4587314,0
-0.13057,-0.08064,12.503764,-3.4587314,0
-0.1307,-0.08079,12.503764,-3.4587314,0
-0.13067,-0.08103,12.503764,-3.4587314,0
-0.13106,-0.0812,15.339924,-5.599251,0
-0.13149,-0.08133,15.339924,-5.599251,0
-0.13541,0.02405,43.67865,-6.385902,1
-0.13535,0.02447,43.67865,-6.385902,1
-0.13533,0.02519,43.67865,-6.385902,1
-0.13588,0.02642,43.67865,-6.385902,1
-0.13606,0.02703,43.67865,-6.385902,1
-0.13626,0.02637,43.67865,-6.385902,1
-0.13643,0.02491,43.67865,-6.385902,1
-0.13645,0.02338,43.776028,-6.1268115,1
-0.13668,0.0221,43.776028,-6.1268115,1
-0.13685,0.02151,43.776028,-6.1268115,1
-0.13697,0.02123,43.776028,-6.1268115,1
-0.13707,0.02125,43.776028,-6.1268115,1
-0.13695,0.02121,43.776028,-6.1268115,1
-0.13684,0.02117,43.776028,-6.1268115,1
-0.13701,0.02104,43.776028,-6.1268115,1
-0.13748,0.0209,43.776028,-6.1268115,1
-0.13823,0.02076,43.776028,-6.1268115,1
-0.13891,0.02034,43.776028,-6.1268115,1
-0.13959,0.01943,43.776028,-6.1268115,1
-0.1399,0.01833,43.776028,-6.1268115,1
-0.13986,0.0175,43.776028,-6.1268115,1
-0.13993,0.01695,43.776028,-6.1268115,1
-0.13992,0.01658,44.10651,-5.984484,1
-0.13988,0.01619,44.10651,-5.984484,1
-0.13969,0.01589,44.10651,-5.984484,1
-0.1391,0.01585,44.10651,-5.984484,1
-0.13824,0.01587,44.10651,-5.984484,1
-0.13774,0.01566,44.10651,-5.984484,1
-0.13754,0.01574,44.10651,-5.984484,1
-0.13741,0.01598,44.10651,-5.984484,1
-0.13727,0.01629,44.10651,-5.984484,1
-0.13727,0.0165,44.10651,-5.984484,1
-0.13714,0.01701,44.10651,-5.984484,1
-0.13674,0.01768,44.10651,-5.984484,1
-0.1361,0.01823,44.10651,-5.984484,1
-0.13508,0.01859,44.10651,-5.984484,1
-0.13397,0.01885,44.10651,-5.984484,1
-0.13267,0.01922,43.243908,-9.791286,1
-0.13193,0.02023,43.243908,-9.791286,1
-0.13185,0.02052,43.243908,-9.791286,1
-0.13172,0.02,43.243908,-9.791286,1
-0.13176,0.01905,43.243908,-9.791286,1
-0.13177,0.01839,43.243908,-9.791286,1
-0.13208,0.0181,43.243908,-9.791286,1
-0.13246,0.01826,43.243908,-9.791286,1
-0.13274,0.01852,43.243908,-9.791286,1
-0.13294,0.0186,43.243908,-9.791286,1
-0.13321,0.0185,43.243908,-9.791286,1
-0.13372,0.01859,43.243908,-9.791286,1
-0.13393,0.01831,43.243908,-9.791286,1
-0.13423,0.01792,43.243908,-9.791286,1
-0.13425,0.01727,43.243908,-9.791286,1
-0.1339,0.01671,43.243908,-9.791286,1
-0.13336,0.01638,47.027702,-6.2723303,1
-0.13252,0.01599,47.027702,-6.2723303,1
-0.13236,0.01556,47.027702,-6.2723303,1
-0.13255,0.01512,47.027702,-6.2723303,1
-0.1328,0.01468,47.027702,-6.2723303,1
-0.13307,0.01455,47.027702,-6.2723303,1
-0.13303,0.01464,47.027702,-6.2723303,1
-0.13286,0.01489,47.027702,-6.2723303,1
-0.13246,0.01508,47.027702,-6.2723303,1
-0.13193,0.01514,47.027702,-6.2723303,1
-0.13136,0.01509,47.027702,-6.2723303,1
-0.13072,0.01493,47.027702,-6.2723303,1
-0.13038,0.01465,47.027702,-6.2723303,1
-0.13087,0.01424,47.027702,-6.2723303,1
-0.13147,0.01379,47.027702,-6.2723303,1
-0.13218,0.01344,47.027702,-6.2723303,1
-0.13245,0.01317,47.027702,-6.2723303,1
-0.13254,0.01302,47.027702,-6.2723303,1
-0.13299,0.01293,47.027702,-6.2723303,1
-0.13318,0.01279,47.027702,-6.2723303,1
-0.13372,0.01299,47.027702,-6.2723303,1
-0.13416,0.01282,47.027702,-6.2723303,1
-0.13475,0.01218,47.027702,-6.2723303,1
-0.13538,0.01129,47.027702,-6.2723303,1
-0.13564,0.0102,47.027702,-6.2723303,1
-0.13595,0.00942,47.027702,-6.2723303,1
-0.13636,0.0091,47.027702,-6.2723303,1
-0.13681,0.00941,47.027702,-6.2723303,1
-0.13715,0.00979,47.027702,-6.2723303,1
-0.13689,0.00998,47.027702,-6.2723303,1
-0.1367,0.01018,44.79597,-6.016244,1
-0.1367,0.01037,44.79597,-6.016244,1
-0.137,0.01053,44.79597,-6.016244,1
-0.13731,0.01056,44.79597,-6.016244,1
-0.13722,0.01038,44.79597,-6.016244,1
-0.13695,0.01014,44.79597,-6.016244,1
-0.13653,0.01003,44.79597,-6.016244,1
-0.1365,0.00998,44.79597,-6.016244,1
-0.13691,0.00985,44.79597,-6.016244,1
-0.13718,0.00952,44.79597,-6.016244,1
-0.13759,0.00944,44.79597,-6.016244,1
-0.13791,0.00942,44.79597,-6.016244,1
-0.13843,0.00922,44.79597,-6.016244,1
-0.13908,0.00907,44.79597,-6.016244,1
-0.13929,0.009,44.79597,-6.016244,1
-0.1395,0.00915,44.79597,-6.016244,1
-0.13959,0.00924,46.563095,-7.273426,1
-0.1396,0.00916,46.563095,-7.273426,1
-0.13967,0.00892,46.563095,-7.273426,1
-0.13962,0.00859,46.563095,-7.273426,1
-0.13957,0.0084,46.563095,-7.273426,1
-0.13928,0.00819,46.563095,-7.273426,1
-0.1392,0.00796,46.563095,-7.273426,1
-0.13907,0.00779,46.563095,-7.273426,1
-0.13915,0.00753,46.563095,-7.273426,1
-0.13924,0.00749,46.563095,-7.273426,1
-0.13957,0.00777,46.563095,-7.273426,1
-0.17558,-0.04664,-43.46794,-1.7113541,2
-0.17611,-0.04617,-43.46794,-1.7113541,2
-0.17551,-0.04559,-43.46794,-1.7113541,2
-0.17461,-0.04533,-43.46794,-1.7113541,2
-0.17365,-0.04519,-43.46794,-1.7113541,2
-0.17238,-0.04483,-43.46794,-1.7113541,2
-0.17154,-0.04422,-43.46794,-1.7113541,2
-0.17136,-0.04355,-43.46794,-1.7113541,2
-0.17125,-0.04323,-31.415215,-3.231413,2
-0.17052,-0.04289,-31.415215,-3.231413,2
-0.16947,-0.04284,-31.415215,-3.231413,2
-0.16941,-0.0434,-31.415215,-3.231413,2
-0.16952,-0.0444,-31.415215,-3.231413,2
-0.17063,-0.04563,-31.415215,-3.231413,2
-0.1737,-0.04728,-31.415215,-3.231413,2
-0.17828,-0.04944,-31.415215,-3.231413,2
-0.18331,-0.05199,-31.415215,-3.231413,2
-0.18695,-0.05447,-31.415215,-3.231413,2
-0.18975,-0.05708,-31.415215,-3.231413,2
-0.19194,-0.05911,-31.415215,-3.231413,2
-0.19333,-0.06021,-31.415215,-3.231413,2
-0.19309,-0.06057,-31.415215,-3.231413,2
-0.19154,-0.06072,-31.415215,-3.231413,2
-0.18992,-0.06101,-39.03991,-0.86487997,2
-0.18872,-0.06173,-39.03991,-0.86487997,2
-0.18742,-0.06256,-39.03991,-0.86487997,2
-0.18669,-0.06332,-39.03991,-0.86487997,2
-0.1861,-0.06369,-39.03991,-0.86487997,2
-0.18549,-0.06393,-39.03991,-0.86487997,2
-0.18576,-0.06392,-39.03991,-0.86487997,2
-0.18557,-0.06333,-39.03991,-0.86487997,2
-0.18501,-0.06218,-39.03991,-0.86487997,2
-0.18446,-0.06092,-39.03991,-0.86487997,2
-0.18411,-0.05987,-39.03991,-0.86487997,2
-0.1839,-0.05859,-39.03991,-0.86487997,2
-0.18312,-0.05716,-39.03991,-0.86487997,2
-0.18247,-0.05639,-39.03991,-0.86487997,2
-0.18264,-0.05627,-39.03991,-0.86487997,2
-0.1833,-0.05674,-39.03991,-0.86487997,2
-0.184,-0.05736,-36.492397,-3.5126894,2
-0.18437,-0.05751,-36.492397,-3.5126894,2
-0.18447,-0.0573,-36.492397,-3.5126894,2
-0.18415,-0.05682,-36.492397,-3.5126894,2
-0.1832,-0.05652,-36.492397,-3.5126894,2
-0.18246,-0.05656,-36.492397,-3.5126894,2
-0.18215,-0.05659,-36.492397,-3.5126894,2
-0.18228,-0.05703,-36.492397,-3.5126894,2
-0.18251,-0.0581,-36.492397,-3.5126894,2
-0.18295,-0.05959,-36.492397,-3.5126894,2
-0.18389,-0.06125,-36.492397,-3.5126894,2
-0.18479,-0.06254,-36.492397,-3.5126894,2
-0.1857,-0.06378,-36.492397,-3.5126894,2
-0.18624,-0.06477,-36.492397,-3.5126894,2
-0.18656,-0.0661,-36.492397,-3.5126894,2
-0.18689,-0.0679,-36.492397,-3.5126894,2
